,Unnamed: 0,town,flat_type,floor_area_sqm,flat_model,remaining_lease,resale_price,address,ind,Lat,Lon,dist_presch,dist_gym,dist_park,dist_pharm,dist_mrt,dist_hawker,index,storey_index,pred,perc_error
26,27,BUKIT BATOK,5 ROOM,132,Model A,62,676000.0,115 Bt Batok West Ave 6,130,1.3491477,103.7465696,57.5047714896096,1211.07710662282,1397.78093407902,296.525205730317,295.44365324642,857.215642962881,164.149516444337,6,638989.3814814815,-5.474943567828183
27,28,BUKIT BATOK,5 ROOM,112,Premium Apartment,94,758000.0,194a Bt Batok West Ave 6,131,1.3448446,103.7456487,118.96305574905,1446.08491959869,1787.37346860742,669.982657487195,553.373840263808,889.371687278625,164.149516444337,3,690586.0846560847,-8.893656377825243
28,29,BUKIT BATOK,5 ROOM,115,Premium Apartment,94,800000.0,194a Bt Batok West Ave 6,132,1.3448446,103.7456487,118.96305574905,1446.08491959869,1787.37346860742,669.982657487195,553.373840263808,889.371687278625,164.149516444337,3,691319.417989418,-13.585072751322746
29,30,BUKIT BATOK,EXECUTIVE,155,Maisonette,62,890000.0,121 Bt Batok Ctrl,133,1.3516009,103.7478959,120.986380707067,904.690126156647,1112.95582400686,46.8384071163399,311.442744464848,786.231958885937,164.149516444337,4,770895.0207407408,-13.382581939242606
30,31,BUKIT BATOK,EXECUTIVE,156,Maisonette,62,750000.0,218 Bt Batok St 21,134,1.3472353,103.7543086,119.763170103511,1196.54780606286,1104.0919053657,416.234040665069,542.408678100508,1648.88745289291,164.149516444337,1,712471.1440775141,-5.003847456331458
31,32,BUKIT BATOK,EXECUTIVE,144,Apartment,63,640000.0,366 Bt Batok St 31,135,1.3605216,103.7486935,188.874532489205,562.977414306848,893.137249665678,951.882611587492,374.476341737021,965.999667712046,164.149516444337,1,672050.0225506137,5.007816023533397
32,33,BUKIT BATOK,EXECUTIVE,152,Apartment,70,750000.0,405 Bt Batok West Ave 7,136,1.3657248,103.7455028,173.100300342915,1207.44455821196,1025.95620706279,1547.8250993459,1013.3211296699,1239.48815925387,164.149516444337,2,663181.4558515559,-11.57580588645921
33,34,BUKIT MERAH,1 ROOM,31,Improved,52,228000.0,7 Telok Blangah Cres,137,1.2783667,103.8194072,273.858473822197,436.45005216354,367.952478555307,564.340133009204,1178.78842286226,140.166672253635,164.149516444337,3,257680.97777777776,13.01797270955165
34,35,BUKIT MERAH,2 ROOM,64,Standard,50,560000.0,48 Moh Guan Ter,138,1.2839965,103.8310614,109.644692126355,672.27342324715,121.856959644728,453.180404812026,476.182645520691,187.87823775501,164.149516444337,1,372053.26049382717,-33.56191776895943
35,36,BUKIT MERAH,3 ROOM,59,Standard,48,350000.0,40 Beo Cres,139,1.2891435,103.8274678,92.4144226414924,435.261331319708,418.941296910906,126.287761876893,309.658085706811,37.8064994358722,164.149516444337,3,330859.5158169935,-5.468709766573289
36,37,BUKIT MERAH,3 ROOM,67,Model A,94,533000.0,105a Depot Rd,140,1.281151799,103.811422,69.3743558913277,747.579454339516,274.714064929107,685.115255508857,1105.30271969716,681.410972393221,164.149516444337,3,537614.1777777778,0.8656993954554925
